id,rel_image_path,rel_mask_path,split,dataset,dataset_format,crop_width,crop_height,iris_radius,pupil_radius,pupil_size,iris_size,iris_texture,lighting_skybox,skin_texture,head_pose
1,images/1.jpg,Masks/1.png,train,unity_eyes,unity_eyes_3c,245,167,42.652099609375,21.3260498046875,0.06087006,0.9995786,eyeball_grey,bergen_2k,m12_color,"(16.4349, 181.5872, 0.0000)"
10,images/10.jpg,Masks/10.png,train,unity_eyes,unity_eyes_3c,217,130,29.63895034790039,4.445842552185058,-0.01047774,0.9093175,eyeball_grey_1,bergen_2k,m04_color,"(14.8321, 144.2874, 0.0000)"
100,images/100.jpg,Masks/100.png,train,unity_eyes,unity_eyes_3c,236,161,36.76117706298828,5.514176559448242,-0.009423845,0.9410496,eyeball_brown,st_lucia_beach_2k,m12_color,"(12.0462, 150.8495, 0.0000)"
1000,images/1000.jpg,Masks/1000.png,train,unity_eyes,unity_eyes_3c,226,146,37.48492431640625,5.622738647460937,-0.1545234,0.9001313,eyeball_grey,northcliff_2k,m15_color,"(15.6986, 191.5402, 0.0000)"
101,images/101.jpg,Masks/101.png,train,unity_eyes,unity_eyes_3c,229,123,33.1997184753418,4.97995777130127,-0.1726936,0.9178743,eyeball_brown,st_lucia_beach_2k,m08_color,"(10.5503, 163.1207, 0.0000)"
102,images/102.jpg,Masks/102.png,train,unity_eyes,unity_eyes_3c,240,134,41.03600311279297,6.1554004669189455,-0.06409747,0.9738967,eyeball_amber,st_lucia_beach_2k,m03_color,"(8.6911, 165.6328, 0.0000)"
103,images/103.jpg,Masks/103.png,train,unity_eyes,unity_eyes_3c,209,153,34.65534973144531,5.198302459716797,-0.1691613,0.9233972,eyeball_green,st_lucia_beach_2k,m11_color,"(17.1346, 204.9577, 0.0000)"
104,images/104.jpg,Masks/104.png,train,unity_eyes,unity_eyes_3c,219,151,32.267295837402344,16.133647918701172,0.1369381,0.9925067,eyeball_amber,st_lucia_beach_2k,f03_color,"(352.1586, 145.6199, 0.0000)"
105,images/105.jpg,Masks/105.png,train,unity_eyes,unity_eyes_3c,244,165,38.63578414916992,19.31789207458496,0.3592391,0.9686258,eyeball_grey_1,st_lucia_beach_2k,m06_color,"(16.5641, 174.9360, 0.0000)"
106,images/106.jpg,Masks/106.png,train,unity_eyes,unity_eyes_3c,231,177,39.224483489990234,19.612241744995117,0.1303804,0.9336875,eyeball_brown,st_lucia_beach_2k,f03_color,"(5.5534, 185.9691, 0.0000)"
